Time-from-meal,BGL,Heart_Rate,md_so,md_sd,t_sd,md_do,sd_r
600,102.6,111,-0.00075278,0.003788026,0.1565,-0.004540806,-5.032049491
600,102.6,108,-0.00043014,0.003635941,0.155733333,-0.004066081,-8.452934214
600,102.6,120,0.00047564,0.001371424,0.118153846,-0.000895784,2.883324286
600,102.6,129,0.000266006,0.00147343,0.124,-0.001207425,5.539097272
600,102.6,120,0.000650084,0.001037697,0.106909091,-0.000387614,1.596252049
600,102.6,114,0.006967195,0.00369847,0.130285714,0.003268724,0.530840663
600,102.6,102,0.006927748,0.003989957,0.130285714,0.002937791,0.57593852
950,81,102,0.004244665,0.001845519,0.1104,0.002399146,0.434785614
950,81,114,-0.007618963,0.000837984,0.138666667,-0.008456947,-0.109986664
950,81,123,-0.006845652,0.000932865,0.130666667,-0.007778518,-0.13627119
950,81,120,-0.006403829,0.000854045,0.123428571,-0.007257874,-0.13336468
950,81,120,-0.006237457,0.00095414,0.123428571,-0.007191597,-0.152969324
950,81,114,-0.005845229,0.00123327,0.133866667,-0.0070785,-0.210987534
950,81,114,-0.004756835,0.001771474,0.1392,-0.006528309,-0.372406018
950,81,123,-0.002818487,0.002258587,0.1344,-0.005077073,-0.801347374
950,81,117,-0.002296412,0.001769439,0.122285714,-0.004065851,-0.770523102
950,81,108,0.001819985,0.002073003,0.114,-0.000253018,1.139022199
950,81,126,0.005107268,0.000595635,0.0928,0.004511633,0.116624968
950,81,111,0.009538392,0.003684216,0.112,0.005854176,0.386251245
600,120.6,117,0.016674024,0.009789157,0.140266667,0.006884866,0.587090285
600,120.6,114,0.019146547,0.007748786,0.125142857,0.01139776,0.40470934
600,120.6,105,0.016376824,0.010351558,0.1385,0.006025265,0.632085844
600,120.6,108,0.015771518,0.009557359,0.1328,0.006214159,0.605988504
600,120.6,105,0.019180413,0.009015051,0.128,0.010165362,0.470013377
600,120.6,108,0.020964401,0.011046827,0.130666667,0.009917574,0.526932639
600,120.6,114,0.019756049,0.01517339,0.136533333,0.004582659,0.768037673
600,120.6,102,0.009882572,0.006527529,0.138133333,0.003355043,0.660509163
600,120.6,120,0.011339889,0.004396826,0.121846154,0.006943063,0.38773092
600,120.6,117,-0.006558226,0.001194915,0.132,-0.00775314,-0.182200902
600,120.6,105,-0.006962104,0.001582178,0.145,-0.008544282,-0.227255671
600,120.6,111,-0.006918796,0.001405418,0.1424,-0.008324214,-0.203130391
600,120.6,108,-0.007266121,0.001115878,0.137714286,-0.008381999,-0.153572734
600,120.6,111,-0.007299361,0.001239194,0.140266667,-0.008538555,-0.169767486
600,120.6,117,-0.003979968,0.002385231,0.144533333,-0.0063652,-0.599309198
600,120.6,105,-0.003412508,0.002995637,0.1465,-0.006408145,-0.877840369
600,120.6,111,-0.003786946,0.002653775,0.141333333,-0.00644072,-0.700769102
600,120.6,108,-0.004158308,0.00201193,0.1392,-0.006170238,-0.483833732
600,120.6,111,-0.004091332,0.002194506,0.136533333,-0.006285839,-0.536379326
600,120.6,108,-0.005068363,0.002131454,0.148266667,-0.007199816,-0.420540855
600,120.6,123,-0.004297951,0.001781728,0.134857143,-0.006079679,-0.414553002
600,120.6,114,0.011360227,0.007006479,0.140266667,0.004353749,0.616755151
600,120.6,114,0.012922253,0.00545029,0.126285714,0.007471962,0.421775557
600,120.6,105,0.010651053,0.007028518,0.136,0.003622536,0.65988944
600,120.6,108,0.009965645,0.006345504,0.1312,0.003620141,0.636737915
600,120.6,105,0.0124181,0.006288423,0.128571429,0.006129677,0.50639171
600,120.6,108,0.010057056,0.006498803,0.130133333,0.003558253,0.646193415
600,120.6,102,0.008572345,0.00621394,0.1392,0.002358404,0.724882238
950,84.6,117,0.011732524,0.007172963,0.145714286,0.004559562,0.611374209
950,84.6,117,0.010127659,0.00706467,0.150857143,0.00306299,0.697561939
950,84.6,120,-0.004653254,0.000687856,0.116666667,-0.00534111,-0.147822678
950,84.6,114,-0.005490733,0.000736565,0.132571429,-0.006227298,-0.134146953
950,84.6,123,-0.004658892,0.001088101,0.136533333,-0.005746992,-0.233553576
950,84.6,120,-0.003624136,0.001499843,0.147333333,-0.005123979,-0.4138485
950,84.6,117,-0.002864238,0.002200353,0.158,-0.005064591,-0.768215909
950,84.6,117,-0.003670965,0.002079479,0.152,-0.005750444,-0.566466559
950,84.6,114,-0.002343991,0.002312697,0.137142857,-0.004656688,-0.986649518
950,84.6,114,-0.004391797,0.001793907,0.1408,-0.006185703,-0.408467592
950,84.6,117,-0.005470967,0.001258788,0.144,-0.006729755,-0.230085123
950,84.6,120,0.002018738,0.004153101,0.15,-0.002134364,2.057276559
950,84.6,117,0.00250863,0.005938435,0.158666667,-0.003429805,2.367202456
950,84.6,120,0.001855923,0.0055235,0.153714286,-0.003667577,2.976147166
950,84.6,120,0.008642312,0.005399172,0.137142857,0.00324314,0.624736958
950,84.6,117,0.015607563,0.007476139,0.147333333,0.008131425,0.479007416
950,84.6,117,0.013878065,0.008806484,0.146857143,0.00507158,0.634561413
950,84.6,117,0.011225999,0.008091967,0.149714286,0.003134032,0.720823773
950,86.4,87,-0.001814248639,0.004563318231,0.22,-0.006377566869,-2.515266173
950,86.4,90,-0.0009108627073,0.005711331224,0.22,-0.006622193931,-6.270243779
950,86.4,96,-0.0004941950118,0.004675207779,0.196,-0.00516940279,-9.460248823
950,86.4,84,-0.0004932817638,0.004721015034,0.238,-0.005214296797,-9.570625513
950,86.4,93,-0.0002727334919,0.004120956233,0.2625454545,-0.004393689725,-15.10982829
950,86.4,123,-0.009086426002,7.82E-05,0.1146666667,-0.009164672061,-0.008611313056
950,86.4,120,-0.008979574651,0.0001174523046,0.1191111111,-0.009097026956,-0.01307994078
950,86.4,117,-0.008977112891,0.0002653756237,0.1447272727,-0.009242488515,-0.0295613553
950,86.4,114,-0.008905417686,0.0003201853447,0.1424,-0.00922560303,-0.0359539952
950,86.4,120,-0.00893704586,4.12E-05,0.08666666667,-0.008978267801,-0.004612479485
